Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
WCM616_O1,-0.373,-0.043,0.09,-0.069,0.0,0.0,-0.34,-0.34,0.07,0.07,-0.33,-0.33,0.51,0.524,0.07,0.07,0.09,0.09,0.07,0.195,-0.11,-0.11,0.387,0.1,NA,-0.1,NA,-0.39,NA,-0.065,-0.205,-0.41,-0.944,0.378,0.045,-0.28,-0.356,-0.28,0.33,0.33,-0.15,-0.15,NA,-0.96,-0.58,-0.455
WCM616_O2,-0.375,-0.228,-0.08,-0.08,-0.128,-0.043,-0.45,-0.4,-0.03,-0.011,-0.46,-0.46,0.44,0.44,-0.1,0.116,-0.09,-0.09,0.0,0.047,-0.07,-0.07,0.378,0.08,NA,-0.01,NA,-0.39,NA,-0.052,-0.235,-0.36,-0.917,0.301,-0.122,-0.468,-0.2,-0.2,0.24,0.24,-0.14,-0.14,NA,-0.9,-0.636,-0.516
WCM616_O3,-0.36,-0.085,-0.06,-0.146,-0.03,-0.03,-0.4,-0.4,0.07,0.07,-0.414,-0.427,0.45,0.458,-0.06,0.032,0.11,0.11,0.041,0.196,-0.29,-0.201,0.313,0.085,NA,-0.06,NA,-0.32,NA,-0.087,-0.115,-0.35,-0.865,0.368,0.014,-0.449,-0.382,-0.389,0.37,0.37,-0.16,-0.16,NA,-0.87,-0.42,-0.493
WCM616_P1,0.463,0.361,0.44,0.44,0.048,0.84,-0.08,0.146,0.267,0.254,-0.05,-0.05,0.54,0.54,-0.04,0.94,0.01,0.01,0.55,0.55,0.58,0.58,1.2,0.94,NA,0.82,NA,0.42,NA,0.768,0.367,0.47,-0.042,0.791,-0.125,-0.128,-0.05,-0.05,0.435,0.9,0.44,0.44,NA,-0.05,-0.12,-0.505
WCM616_T1,-0.36,-0.286,0.06,0.06,0.03,0.03,-0.66,-0.66,-0.39,-0.39,-0.18,-0.18,0.36,0.36,-0.3,-0.3,-0.18,-0.18,-0.14,0.137,-0.13,-0.13,0.339,0.05,NA,0.18,NA,0.14,NA,0.013,-0.11,-0.11,-0.278,-0.029,-0.126,-0.479,-0.18,-0.18,0.38,0.38,-0.32,-0.32,NA,-0.54,-0.28,-0.28
WCM715_O1,0.315,0.3,0.51,0.51,-0.01,-0.01,-0.05,-0.05,0.19,-0.054,0.37,0.37,0.53,0.53,0.009,0.527,-0.07,-0.07,-0.06,-0.06,0.015,-0.08,0.41,0.41,NA,0.68,NA,0.33,NA,0.01,0.48,0.571,-0.049,-0.04,0.02,0.02,-0.052,0.73,0.59,0.964,0.02,0.02,NA,0.26,1.093,1.43
WCM715_O3,0.082,0.03,0.55,0.55,0.0,0.018,-0.002,-0.081,0.06,-0.168,0.54,0.54,0.59,0.59,0.073,0.57,-0.02,0.418,0.02,0.02,0.048,0.0,0.07,0.07,NA,0.9,NA,0.02,NA,0.03,0.56,0.56,-0.023,0.019,-0.01,-0.01,0.011,0.562,0.56,1.033,0.02,0.02,NA,0.03,1.144,1.47
WCM715_P1,0.629,0.55,0.445,0.54,0.0,0.059,-0.02,-0.02,0.47,0.316,0.56,0.56,0.58,0.58,0.061,0.759,-0.01,-0.01,0.0,0.0,0.063,-0.17,0.57,0.57,NA,0.56,NA,0.57,NA,-0.01,0.59,0.59,-0.008,0.009,0.01,0.01,0.058,0.97,0.59,0.997,0.01,0.01,NA,0.59,1.481,1.92
WCM715_T1,0.447,0.418,0.5,0.5,0.0,0.0,0.0,0.0,0.02,-0.225,0.54,0.54,0.6,0.6,-0.831,0.185,0.02,0.02,0.0,0.0,0.042,-0.03,0.55,0.55,NA,0.58,NA,0.037,NA,0.0,0.57,0.57,-0.031,0.009,0.03,0.03,0.058,0.94,0.58,0.58,0.01,0.01,NA,0.53,0.51,0.51
WCM715_T2,0.208,0.12,0.55,0.55,-0.02,-0.02,0.01,0.01,0.55,0.182,0.53,0.53,0.994,1.05,-0.782,0.281,0.52,0.52,-0.01,-0.01,-0.02,0.13,0.767,0.56,NA,0.59,NA,0.088,NA,0.16,0.55,0.55,-0.021,0.028,0.01,0.01,0.503,0.91,0.96,0.96,-0.01,-0.01,NA,0.55,0.853,1.17
WCM715_T3,0.234,0.17,0.51,0.51,-0.03,-0.03,0.0,0.0,0.01,-0.374,0.61,0.455,0.63,0.63,-0.839,0.178,0.23,0.23,-0.01,-0.01,0.063,-0.04,0.56,0.56,NA,0.63,NA,0.64,NA,0.04,0.54,0.54,-0.038,-0.011,0.01,0.01,0.045,0.95,0.84,0.84,-0.01,-0.01,NA,0.56,0.52,0.52
WCM715_T4,0.105,0.02,0.55,0.55,-0.02,-0.02,-0.01,-0.01,0.56,0.123,0.55,0.55,0.68,0.923,-0.849,0.35,0.35,0.35,-0.01,-0.075,0.12,0.12,0.802,0.57,NA,0.6,NA,0.2,NA,-0.01,0.53,0.53,-0.049,-0.01,-0.02,-0.02,0.554,0.93,0.96,0.96,-0.02,-0.02,NA,0.53,1.01,0.638
WCM748_O1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.018,0.02,0.02,0.009,0.02,0.58,0.58,-0.98,0.95,0.0,0.041,0.01,0.01,0.01,0.01,0.01,0.01,NA,-0.04,NA,0.01,NA,0.01,0.19,0.19,0.01,0.01,0.03,0.03,0.224,0.348,0.6,0.6,0.55,0.55,NA,0.01,-0.04,-0.04
WCM748_O2,-0.04,0.009,-0.04,-0.04,-0.03,-0.03,0.02,0.009,0.04,0.04,0.03,0.03,0.62,0.62,-0.97,0.86,0.03,0.053,0.03,0.03,0.03,0.03,0.01,0.01,NA,-0.126,NA,-0.03,NA,-0.04,0.28,0.28,-0.07,-0.07,0.1,0.1,-0.012,0.133,0.54,0.54,0.55,0.55,NA,-0.05,-0.03,-0.03
WCM748_O3,-0.041,-0.0,-0.04,-0.04,-0.03,-0.03,0.01,0.009,0.04,0.04,-0.03,0.04,0.62,0.62,-0.96,0.47,0.04,0.098,0.04,0.04,0.02,0.02,0.02,0.02,NA,-0.02,NA,-0.03,NA,-0.03,0.06,0.06,-0.06,-0.06,0.31,0.31,0.063,0.41,0.55,0.55,0.56,0.56,NA,-0.05,-0.02,-0.02
WCM748_P1,-0.019,0.004,-0.06,-0.06,-0.04,-0.04,0.02,-0.015,0.04,0.04,0.03,0.03,0.62,0.62,-0.96,0.89,0.02,0.063,0.04,0.04,0.03,0.03,0.04,0.04,NA,-0.03,NA,-0.02,NA,-0.04,0.02,0.02,-0.02,-0.02,-0.04,-0.04,0.06,0.151,0.56,0.56,0.55,0.55,NA,-0.02,0.0,0.0
WCM748_T1,0.0,0.0,-0.02,-0.02,-0.01,-0.01,-0.016,-0.03,-0.02,-0.02,-0.008,-0.09,0.56,0.56,-0.049,-0.04,-0.828,-0.727,-0.01,-0.119,-0.478,0.0,-0.032,-0.01,NA,-0.03,NA,0.0,NA,0.0,0.0,0.0,-0.456,0.02,-0.03,-0.03,0.09,0.09,-0.007,0.11,0.57,0.57,NA,0.01,-0.06,-0.06
WCM748_T2,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,-1.033,-0.627,-0.17,-0.45,-0.01,-0.01,-0.001,0.02,NA,0.02,NA,0.03,NA,0.02,0.0,0.0,-0.01,-0.01,0.02,0.02,0.53,0.53,0.864,0.98,0.0,0.0,NA,0.0,-0.03,-0.03
WCM773_O1,-0.19,-0.19,-0.104,-0.062,-0.24,-0.24,0.038,-0.16,-0.01,-0.01,0.23,-0.8,0.33,0.01,-0.75,0.007,-0.864,-0.76,-0.818,-0.04,-0.161,-0.181,0.02,-0.08,NA,-0.09,NA,0.12,NA,-0.612,-0.05,-0.05,0.136,0.059,-0.721,-1.122,-0.12,-0.12,0.19,0.19,-4.89,-0.247,NA,-0.35,-0.84,-0.668
WCM773_T1,0.02,0.02,0.01,-0.006,0.03,0.03,-0.059,-0.322,0.02,0.02,0.01,-0.97,0.01,0.01,-0.95,-0.282,-0.805,0.02,-0.97,0.02,0.018,0.011,-0.811,0.0,NA,-0.99,NA,0.01,NA,-0.143,0.02,0.02,-0.066,0.02,0.63,-1.257,0.02,0.02,0.02,0.02,-2.71,0.01,NA,-0.94,-0.02,0.15
