Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
H005-TF,-0.497,-0.084,-0.098,-0.098,-0.103,-0.111,-0.112,-0.112,-0.105,-0.105,0.222,0.222,0.043,0.048,0.148,0.151,0.167,0.181,-0.177,-0.259,0.006,0.072,-0.083,-0.083,NA,0.724,NA,-0.523,NA,-0.099,0.287,0.279,-0.469,-0.03,-0.582,-1.177,0.013,0.013,-0.537,1.143,-0.514,-0.514,NA,-0.041,0.599,0.599
H005-TO,-0.564,-0.052,-0.062,-0.062,-0.143,-0.147,-0.168,-0.168,-0.119,-0.119,0.078,0.078,0.177,0.177,0.274,0.278,0.019,0.03,-0.09,-0.09,-0.227,-0.113,-0.045,-0.045,NA,0.821,NA,-0.618,NA,-0.096,0.364,0.364,-0.545,-0.017,-0.64,-1.53,0.005,0.005,-0.728,1.272,-0.54,-0.54,NA,-0.15,0.722,0.722
H005-TOL,-0.254,0.428,-0.192,-0.192,0.129,0.112,-0.296,-0.296,-0.247,-0.247,-0.23,-0.234,0.144,0.143,0.706,0.713,0.125,0.141,-0.216,-0.216,-0.309,-0.202,-0.2,-0.2,NA,0.727,NA,-0.755,NA,-0.249,0.214,0.202,-0.705,-0.186,-0.235,-0.782,-0.106,-0.106,-0.798,1.156,-0.2,-0.2,NA,-0.143,0.603,0.603
H006-NO,0.016,-0.027,-0.051,-0.041,-0.056,-0.057,-0.035,-0.041,-0.059,-0.067,-0.022,-0.069,-0.064,-0.03,-0.036,-0.036,-0.041,-0.031,-0.076,-0.034,-0.012,-0.039,-0.041,-0.027,NA,-0.043,NA,-0.011,NA,-0.014,0.012,-0.006,0.084,0.088,-0.121,-0.033,0.096,0.074,-0.135,-0.025,0.051,0.051,NA,0.053,-0.271,-0.246
H006-NOL,-0.013,-0.013,-0.025,-0.025,-0.03,-0.262,-0.004,-0.004,-0.013,-0.022,-0.02,-0.02,-0.027,-0.027,-0.031,-0.031,-0.011,-0.011,-0.034,-0.034,-0.023,-0.023,-0.023,-0.023,NA,-0.031,NA,-0.033,NA,-0.007,-0.007,-0.007,0.011,0.011,-0.031,-0.031,0.054,0.054,-0.026,-0.026,0.01,0.01,NA,0.017,-0.143,-0.143
H006-T1F,-0.206,-0.028,-0.005,0.031,-0.24,-0.042,-0.324,-0.112,-0.109,-0.238,0.167,-0.0,0.351,0.103,-0.301,0.16,-0.195,-0.195,-0.039,-0.24,0.021,0.255,0.021,-0.011,NA,0.399,NA,-0.067,NA,-0.203,0.147,0.326,0.088,0.023,-0.253,-0.253,-0.056,-0.013,0.285,0.68,-0.04,-0.04,NA,-0.228,0.038,0.092
H006-T1O,-0.494,-0.032,0.002,0.034,-0.526,-0.081,-0.772,-0.429,-0.369,-0.537,0.316,-0.08,0.631,0.202,-0.723,0.236,-0.486,-0.486,0.034,-0.519,-0.071,0.418,0.109,0.037,NA,0.798,NA,-0.446,NA,-0.479,0.267,0.248,0.008,0.089,-0.568,-0.568,0.123,0.186,0.621,1.169,-0.072,-0.072,NA,-0.448,0.34,0.33
H006-T2F,-0.288,0.26,0.074,0.114,-0.371,0.016,-0.941,-0.123,-0.305,-0.328,0.428,-0.168,0.671,-0.063,-0.759,0.481,-0.309,-0.309,0.069,-0.333,-0.283,-0.014,0.164,0.103,NA,0.275,NA,-0.333,NA,-0.312,0.3,0.093,-0.472,0.153,-0.333,-0.719,-0.138,0.43,-0.117,0.811,-0.153,0.051,NA,-0.281,0.262,0.046
H006-T2O,-0.373,0.122,0.125,0.125,-0.406,-0.201,-1.296,-0.381,-0.367,-0.436,0.388,-0.155,0.704,-0.118,-1.165,0.471,-0.404,-0.383,0.152,-0.402,-0.412,0.237,0.051,-0.03,NA,0.412,NA,-0.382,NA,-0.389,0.139,0.003,-0.417,0.215,-0.444,-1.063,0.287,0.24,0.121,1.167,-0.308,-0.032,NA,-0.31,0.389,0.44
H006-T2OL,-0.452,0.061,0.05,0.055,-0.474,-0.025,-0.667,-0.456,0.004,-0.252,0.361,0.064,0.215,0.062,-0.51,0.013,-0.464,-0.446,0.057,-0.477,-0.063,0.179,0.145,0.075,NA,0.571,NA,-0.066,NA,-0.456,0.44,0.055,0.122,-0.289,-0.525,-0.525,0.178,0.178,0.656,1.206,-0.065,-0.065,NA,-0.394,0.298,0.296
H007-NO,0.014,-0.024,-0.025,-0.044,-0.056,-0.044,-0.043,-0.043,-0.071,-0.069,-0.031,-0.071,-0.067,-0.019,-0.047,-0.047,-0.055,-0.035,-0.038,-0.038,-0.018,-0.024,-0.09,-0.031,NA,-0.041,NA,-0.018,NA,-0.024,0.015,0.001,0.069,0.072,-0.1,-0.032,0.14,0.053,-0.12,-0.02,0.03,0.03,NA,0.024,-0.29,-0.24
H007-NOL,0.004,-0.022,-0.025,-0.025,-0.021,-0.029,-0.031,-0.031,-0.036,-0.036,-0.033,-0.033,-0.025,-0.029,-0.04,-0.04,-0.035,-0.021,-0.032,-0.032,-0.025,-0.013,-0.016,-0.016,NA,-0.044,NA,-0.027,NA,-0.017,0.006,-0.004,0.032,0.032,-0.054,-0.054,0.087,0.087,-0.032,-0.032,-0.023,-0.023,NA,0.031,-0.18,-0.18
H007-T1F,-0.072,0.066,-0.106,-0.106,0.061,0.053,-0.29,-0.122,0.201,-0.303,0.051,0.051,0.048,0.048,0.031,0.002,0.258,0.005,0.029,0.029,-0.108,-0.106,0.06,0.06,NA,0.064,NA,0.031,NA,-0.304,0.071,0.071,-0.26,0.123,-0.142,-0.485,0.092,0.083,-0.034,0.146,0.025,0.025,NA,0.07,-0.085,-0.085
